Title,Category,Authors,Date,PDF
Bridging the gap between streaming and non-streaming ASR systems bydistilling ensembles of CTC and RNN-T models,CL,"Thibault Doutre, Wei Han, Chung-Cheng Chiu, Ruoming Pang, Olivier Siohan, Liangliang Cao","25 April, 2021",https://arxiv.org/pdf/2104.14346
A Comprehensive Attempt to Research Statement Generation,IR,"Wenhao Wu, Sujian Li","24 April, 2021",https://arxiv.org/pdf/2104.14339
Dynabench: Rethinking Benchmarking in NLP,CL,"Douwe Kiela, Max Bartolo, Yixin Nie, Divyansh Kaushik, Atticus Geiger, Zhengxuan Wu, Bertie Vidgen, Grusha Prasad, Amanpreet Singh, Pratik Ringshia, Zhiyi Ma, Tristan Thrush, Sebastian Riedel, Zeerak Waseem, Pontus Stenetorp, Robin Jia, Mohit Bansal, Christopher Potts, Adina Williams","7 April, 2021",https://arxiv.org/pdf/2104.14337
Document Collection Visual Question Answering,IR,"Rubèn Tito, Dimosthenis Karatzas, Ernest Valveny","27 April, 2021",https://arxiv.org/pdf/2104.14336
ELF-VC: Efficient Learned Flexible-Rate Video Coding,AI,"Oren Rippel, Alexander G. Anderson, Kedar Tatwawadi, Sanjay Nair, Craig Lytle, Lubomir Bourdev","29 April, 2021",https://arxiv.org/pdf/2104.14335
MoonLight: A Lightweight Tool for Monitoring Spatio-Temporal Properties,LO,"Ezio Bartocci, Luca Bortolussi, Laura Nenzi, Simone Silvetti","29 April, 2021",https://arxiv.org/pdf/2104.14333
Hypernetwork Dismantling via Deep Reinforcement Learning,LG,"Dengcheng Yan, Wenxin Xie, Yiwen Zhang","29 April, 2021",https://arxiv.org/pdf/2104.14332
PersonalityGate: A General Plug-and-Play GNN Gate to Enhance Cascade Prediction with Personality Recognition Task,SI,"Dengcheng Yan, Jie Cao, Yiwen Zhang, Hong Zhong","29 April, 2021",https://arxiv.org/pdf/2104.14327
The Behavioral Diversity of Java JSON Libraries,SE,"Nicolas Harrand, Thomas Durieux, David Broman, Benoit Baudry","29 April, 2021",https://arxiv.org/pdf/2104.14323
Adversarial Multi-task Learning Enhanced Physics-informed Neural Networks for Solving Partial Differential Equations,LG,"Pongpisit Thanasutives, Ken-ichi Fukui, Masayuki Numao","29 April, 2021",https://arxiv.org/pdf/2104.14320
Computing Possible and Necessary Equilibrium Actions (and Bipartisan Set Winners),GT,"Markus Brill, Rupert Freeman, Vincent Conitzer","29 April, 2021",https://arxiv.org/pdf/2104.14317
Separation of PSPACE and EXP,CC,Reiner Czerwinski,"28 April, 2021",https://arxiv.org/pdf/2104.14316
A multi-plane augmented reality head-up display system based on volume holographic optical elements with large area,HC,"Zhenlv Lv, Juan Liu, Liangfa Xu","12 April, 2021",https://arxiv.org/pdf/2104.14315
MOROCCO: Model Resource Comparison Framework,CL,"Valentin Malykh, Alexander Kukushkin, Ekaterina Artemova, Vladislav Mikhailov, Maria Tikhonova, Tatiana Shavrina","29 April, 2021",https://arxiv.org/pdf/2104.14314
Differentiable model-based adaptive optics for two-photon microscopy,LG,"Ivan Vishniakou, Johannes D. Seelig","29 April, 2021",https://arxiv.org/pdf/2104.14308
PAM-6 Coded Modulation for IM/DD Channels with a Peak-Power Constraint,IT,"Tobias Prinz, Thomas Wiegart, Daniel Plabst, Stefano Calabrò, Georg Böcherer, Nebojsa Stojanovic, Talha Rahman","29 April, 2021",https://arxiv.org/pdf/2104.14304
Capability Iteration Network for Robot Path Planning,RO,"Buqing Nie, Yue Gao, Yidong Mei, Feng Gao","29 April, 2021",https://arxiv.org/pdf/2104.14300
End-to-End Speech Recognition from Federated Acoustic Models,SD,"Yan Gao, Titouan Parcollet, Javier Fernandez-Marques, Pedro P. B. de Gusmao, Daniel J. Beutel, Nicholas D. Lane","29 April, 2021",https://arxiv.org/pdf/2104.14297
Storytelling in human--centric software engineering research,SE,Austen Rainer,"29 April, 2021",https://arxiv.org/pdf/2104.14296
Emerging Properties in Self-Supervised Vision Transformers,CV,"Mathilde Caron, Hugo Touvron, Ishan Misra, Hervé Jégou, Julien Mairal, Piotr Bojanowski, Armand Joulin","29 April, 2021",https://arxiv.org/pdf/2104.14294
Optimizing Rescoring Rules with Interpretable Representations of Long-Term Information,LG,Aaron Fisher,"28 April, 2021",https://arxiv.org/pdf/2104.14291
Meta-learning using privileged information for dynamics,LG,"Ben Day, Alexander Norcliffe, Jacob Moss, Pietro Liò","29 April, 2021",https://arxiv.org/pdf/2104.14290
Multi-class Text Classification using BERT-based Active Learning,IR,"Sumanth Prabhu, Moosa Mohamed, Hemant Misra","27 April, 2021",https://arxiv.org/pdf/2104.14289
Hybrid tracker based optimal path tracking system for complex road environments for autonomous driving,RO,"Eunbin Seo, Seunggi Lee, Gwanjun Shin, Hoyeong Yeo, Yongseob Lim, Gyeungho Choi","29 April, 2021",https://arxiv.org/pdf/2104.14285
Uncertainty Principles in Risk-Aware Statistical Estimation,IT,"Nikolas P. Koumpis, Dionysios S. Kalogerias","29 April, 2021",https://arxiv.org/pdf/2104.14283
VIRDOC: Statistical and Machine Learning by a VIRtual DOCtor to Predict Dengue Fatality,LG,"Amit K Chattopadhyay, Subhagata Chattopadhyay","29 April, 2021",https://arxiv.org/pdf/2104.14282
Leveraging Online Shopping Behaviors as a Proxy for Personal Lifestyle Choices: New Insights into Chronic Disease Prevention Literacy,CY,"Yongzhen Wang, Xiaozhong Liu, Katy Börner, Jun Lin, Yingnan Ju, Changlong Sun, Luo Si","29 April, 2021",https://arxiv.org/pdf/2104.14281
Relevance Detection in Cataract Surgery Videos by Spatio-Temporal Action Localization,CV,"Negin Ghamsarian, Mario Taschwer, Doris Putzgruber-Adamitsch, Stephanie Sarny, Klaus Schoeffmann","29 April, 2021",https://arxiv.org/pdf/2104.14280
How (Non-)Optimal is the Lexicon?,CL,"Tiago Pimentel, Irene Nikkarinen, Kyle Mahowald, Ryan Cotterell, Damián Blasi","29 April, 2021",https://arxiv.org/pdf/2104.14279
ReLearn: A Robust Machine Learning Framework in Presence of Missing Data for Multimodal Stress Detection from Physiological Signals,LG,"Arman Iranfar, Adriana Arza, David Atienza","29 April, 2021",https://arxiv.org/pdf/2104.14278
"To code, or not to code, at the racetrack: Kelly betting and single-letter codes",IT,"Alexander S. Moffett, Andrew W. Eckford","29 April, 2021",https://arxiv.org/pdf/2104.14277
Generating Instances with Performance Differences for More Than Just Two Algorithms,NE,"Jakob Bossek, Markus Wagner","29 April, 2021",https://arxiv.org/pdf/2104.14275
The entire network structure of Crossmodal Transformer,CV,"Meng Li, Changyan Lin, Lixia Shu, Xin Pu, Yi Chen, Heng Wu, Jiasong Li, Hongshuai Cao","29 April, 2021",https://arxiv.org/pdf/2104.14273
Current Status and Performance Analysis of Table Recognition in Document Images with Deep Neural Networks,CV,"Khurram Azeem Hashmi, Marcus Liwicki, Didier Stricker, Muhammad Adnan Afzal, Muhammad Ahtsham Afzal, Muhammad Zeshan Afzal","29 April, 2021",https://arxiv.org/pdf/2104.14272
Resource Allocation and Service Provisioning in Multi-Agent Cloud Robotics: A Comprehensive Survey,RO,"Mahbuba Afrin, Jiong Jin, Akhlaqur Rahman, Ashfaqur Rahman, Jiafu Wan, Ekram Hossain","29 April, 2021",https://arxiv.org/pdf/2104.14270
Source Seeking Control of Unicycle Robots with 3D-printed Flexible Piezoresistive Sensors,RO,"Tinghua Li, Bayu Jayawardhana, Amar Kamat, Ajay Giri Prakash Kottapalli","29 April, 2021",https://arxiv.org/pdf/2104.14267
Axiomatizations and Computability of Weighted Monadic Second-Order Logic,LO,"Antonis Achilleos, Mathias Ruggaard Pedersen","29 April, 2021",https://arxiv.org/pdf/2104.14266
Using Paragraph Vectors to improve our existing code review assisting tool-CRUSO,SE,"Ritu Kapur, Balwinder Sodhi, Poojith U Rao, Shipra Sharma","29 April, 2021",https://arxiv.org/pdf/2104.14265
Hardware-Friendly Synaptic Orders and Timescales in Liquid State Machines for Speech Classification,NE,"Vivek Saraswat, Ajinkya Gorad, Anand Naik, Aakash Patil, Udayan Ganguly","29 April, 2021",https://arxiv.org/pdf/2104.14264
Quantum Computing Platforms: Assessing the Impact on Quality Attributes and SDLC Activities,SE,"Balwinder Sodhi, Ritu Kapur","29 April, 2021",https://arxiv.org/pdf/2104.14261
Design of Robust and Efficient Edge Server Placement and Server Scheduling Policies: Extended Version,NI,"Shizhen Zhao, Xiao Zhang, Peirui Cao, Xinbing Wang","29 April, 2021",https://arxiv.org/pdf/2104.14256
A block-sparse Tensor Train Format for sample-efficient high-dimensional Polynomial Regression,LG,"Michael Götte, Reinhold Schneider, Philipp Trunschke","29 April, 2021",https://arxiv.org/pdf/2104.14255
Out-of-Band Power Reduction in NC-OFDM with Optimized Cancellation Carriers Selection,SI,"Pawel Kryszkiewicz, Hanna Bogucka","29 April, 2021",https://arxiv.org/pdf/2104.14251
Legio: Fault Resiliency for Embarrassingly Parallel MPI Applications,DC,"Roberto Rocco, Davide Gadioli, Gianluca Palermo","29 April, 2021",https://arxiv.org/pdf/2104.14246
Integral Line-of-Sight Path Following Control of Magnetic Helical Microswimmers Subject to Step-Out Frequencies,RO,"Alireza Mohammadi, Mark W. Spong","29 April, 2021",https://arxiv.org/pdf/2104.14241
TabAug: Data Driven Augmentation for Enhanced Table Structure Recognition,CV,"Umar Khan, Sohaib Zahid, Muhammad Asad Ali, Adnan ul Hassan, Faisal Shafait","29 April, 2021",https://arxiv.org/pdf/2104.14237
